Number,Execution_time,Frame_rate,Sched_Policy,Resolution,Transform
1,0.154943,6.45399,1,640x480,Canny
2,0.125061,7.9961,1,640x480,Canny
3,0.148382,6.73938,1,640x480,Canny
4,0.113404,8.81801,1,640x480,Canny
5,0.139494,7.16877,1,640x480,Canny
6,0.133761,7.476,1,640x480,Canny
7,0.134334,7.44412,1,640x480,Canny
8,0.128309,7.79369,1,640x480,Canny
9,0.135405,7.38526,1,640x480,Canny
1,0.138187,7.23659,0,640x480,Canny
2,0.148402,6.73845,0,640x480,Canny
3,0.128999,7.75201,0,640x480,Canny
4,0.118838,8.41483,0,640x480,Canny
5,0.136833,7.30818,0,640x480,Canny
6,0.134546,7.43243,0,640x480,Canny
7,0.127695,7.83119,0,640x480,Canny
8,0.13566,7.37137,0,640x480,Canny
9,0.136278,7.33794,0,640x480,Canny
1,0.139086,7.18981,1,800x600,Canny
2,0.142177,7.03347,1,800x600,Canny
3,0.125796,7.94941,1,800x600,Canny
4,0.134701,7.42386,1,800x600,Canny
5,0.133536,7.48864,1,800x600,Canny
6,0.136645,7.31822,1,800x600,Canny
7,0.129868,7.70013,1,800x600,Canny
8,0.142401,7.02242,1,800x600,Canny
9,0.130169,7.68234,1,800x600,Canny
1,0.112142,8.91725,0,800x600,Canny
2,0.150209,6.6574,0,800x600,Canny
3,0.126458,7.90775,0,800x600,Canny
4,0.166181,6.01754,0,800x600,Canny
5,0.102693,9.73772,0,800x600,Canny
6,0.130967,7.63554,0,800x600,Canny
7,0.139864,7.14982,0,800x600,Canny
8,0.13351,7.49005,0,800x600,Canny
9,0.129143,7.74337,0,800x600,Canny
1,0.153399,6.51893,1,1600x1200,Canny
2,0.123489,8.09786,1,1600x1200,Canny
3,0.14762,6.77417,1,1600x1200,Canny
4,0.117814,8.48795,1,1600x1200,Canny
5,0.132807,7.5297,1,1600x1200,Canny
6,0.135665,7.3711,1,1600x1200,Canny
7,0.132123,7.5687,1,1600x1200,Canny
8,0.135594,7.37498,1,1600x1200,Canny
9,0.136988,7.29988,1,1600x1200,Canny
1,0.13952,7.16745,0,1600x1200,Canny
2,0.135944,7.35595,0,1600x1200,Canny
3,0.120905,8.27094,0,1600x1200,Canny
4,0.1341,7.45711,0,1600x1200,Canny
5,0.123283,8.1114,0,1600x1200,Canny
6,0.139261,7.18075,0,1600x1200,Canny
7,0.12943,7.72617,0,1600x1200,Canny
8,0.141965,7.044,0,1600x1200,Canny
9,0.132344,7.55605,0,1600x1200,Canny
1,0.144916,6.90054,1,640x480,HoughLine
2,0.152007,6.57863,1,640x480,HoughLine
3,0.118445,8.44276,1,640x480,HoughLine
4,0.129443,7.72541,1,640x480,HoughLine
5,0.13221,7.56374,1,640x480,HoughLine
6,0.134553,7.43203,1,640x480,HoughLine
7,0.13242,7.55175,1,640x480,HoughLine
8,0.136034,7.35109,1,640x480,HoughLine
9,0.13503,7.40578,1,640x480,HoughLine
1,0.139822,7.15194,0,640x480,HoughLine
2,0.140283,7.12847,0,640x480,HoughLine
3,0.129203,7.73977,0,640x480,HoughLine
4,0.138242,7.23368,0,640x480,HoughLine
5,0.131171,7.62362,0,640x480,HoughLine
6,0.13443,7.43881,0,640x480,HoughLine
7,0.133461,7.49281,0,640x480,HoughLine
8,0.139837,7.15118,0,640x480,HoughLine
9,0.13051,7.66227,0,640x480,HoughLine
1,0.140862,7.09914,1,800x600,HoughLine
2,0.141855,7.04946,1,800x600,HoughLine
3,0.125478,7.96952,1,800x600,HoughLine
4,0.135798,7.36385,1,800x600,HoughLine
5,0.133018,7.5178,1,800x600,HoughLine
6,0.135974,7.35435,1,800x600,HoughLine
7,0.132239,7.56208,1,800x600,HoughLine
8,0.136639,7.31857,1,800x600,HoughLine
9,0.133127,7.51164,1,800x600,HoughLine
1,0.128448,7.78525,0,800x600,HoughLine
2,0.151593,6.59659,0,800x600,HoughLine
3,0.134795,7.41865,0,800x600,HoughLine
4,0.122619,8.15536,0,800x600,HoughLine
5,0.141666,7.05887,0,800x600,HoughLine
6,0.121924,8.20181,0,800x600,HoughLine
7,0.267528,3.73792,0,800x600,HoughLine
8,0.131992,7.57621,0,800x600,HoughLine
9,0.135511,7.37947,0,800x600,HoughLine
1,0.14061,7.11187,1,1600x1200,HoughLine
2,0.135328,7.38948,1,1600x1200,HoughLine
