Number,Execution_time,Frame_rate,Sched_Policy,Resolution,Transform
1,0.140885,7.098,1,640x480,Canny
2,0.152382,6.56245,1,640x480,Canny
3,0.113836,8.78453,1,640x480,Canny
4,0.137308,7.28292,1,640x480,Canny
5,0.131005,7.63332,1,640x480,Canny
6,0.135295,7.39124,1,640x480,Canny
7,0.134638,7.42735,1,640x480,Canny
8,0.133138,7.51099,1,640x480,Canny
9,0.13787,7.25322,1,640x480,Canny
1,0.125642,7.95915,0,640x480,Canny
2,0.149069,6.7083,0,640x480,Canny
3,0.133805,7.47359,0,640x480,Canny
4,0.12637,7.91325,0,640x480,Canny
5,0.134032,7.46091,0,640x480,Canny
6,0.137882,7.25257,0,640x480,Canny
7,0.131193,7.62236,0,640x480,Canny
8,0.132537,7.54508,0,640x480,Canny
9,0.132545,7.5446,0,640x480,Canny
1,0.139062,7.19106,1,800x600,Canny
2,0.152718,6.54804,1,800x600,Canny
3,0.112792,8.86584,1,800x600,Canny
4,0.135618,7.37363,1,800x600,Canny
5,0.132681,7.53688,1,800x600,Canny
6,0.135572,7.37613,1,800x600,Canny
7,0.134609,7.42891,1,800x600,Canny
8,0.134602,7.42932,1,800x600,Canny
9,0.135482,7.38103,1,800x600,Canny
1,0.128851,7.76089,0,800x600,Canny
2,0.162366,6.15894,0,800x600,Canny
3,0.120412,8.30481,0,800x600,Canny
4,0.135118,7.40092,0,800x600,Canny
5,0.132843,7.5277,0,800x600,Canny
6,0.132132,7.56817,0,800x600,Canny
7,0.131639,7.59656,0,800x600,Canny
8,0.135144,7.39952,0,800x600,Canny
9,0.139663,7.1601,0,800x600,Canny
1,0.138965,7.19604,1,1600x1200,Canny
2,0.156729,6.38043,1,1600x1200,Canny
3,0.11101,9.00823,1,1600x1200,Canny
4,0.136331,7.33507,1,1600x1200,Canny
5,0.132642,7.53909,1,1600x1200,Canny
6,0.136542,7.32374,1,1600x1200,Canny
7,0.130321,7.67336,1,1600x1200,Canny
8,0.136459,7.32821,1,1600x1200,Canny
9,0.136039,7.35082,1,1600x1200,Canny
1,0.153997,6.49363,0,1600x1200,Canny
2,0.14008,7.13878,0,1600x1200,Canny
3,0.116205,8.60549,0,1600x1200,Canny
4,0.137923,7.25044,0,1600x1200,Canny
5,0.131973,7.57731,0,1600x1200,Canny
6,0.266491,3.75248,0,1600x1200,Canny
7,0.138842,7.20244,0,1600x1200,Canny
8,0.133735,7.4775,0,1600x1200,Canny
9,0.129541,7.71958,0,1600x1200,Canny
1,0.140893,7.0976,1,640x480,HoughLine
2,0.145175,6.88825,1,640x480,HoughLine
3,0.124213,8.0507,1,640x480,HoughLine
4,0.135546,7.37755,1,640x480,HoughLine
5,0.133625,7.48363,1,640x480,HoughLine
6,0.130682,7.65219,1,640x480,HoughLine
7,0.133839,7.47164,1,640x480,HoughLine
8,0.135551,7.37732,1,640x480,HoughLine
9,0.133277,7.50316,1,640x480,HoughLine
1,0.130305,7.67432,0,640x480,HoughLine
2,0.161003,6.21107,0,640x480,HoughLine
3,0.0978431,10.2204,0,640x480,HoughLine
4,0.135085,7.40275,0,640x480,HoughLine
5,0.137861,7.25366,0,640x480,HoughLine
6,0.137798,7.25698,0,640x480,HoughLine
7,0.135456,7.38245,0,640x480,HoughLine
8,0.132392,7.55335,0,640x480,HoughLine
9,0.135348,7.38836,0,640x480,HoughLine
1,0.142256,7.02959,1,800x600,HoughLine
2,0.168858,5.92214,1,800x600,HoughLine
3,0.102755,9.73192,1,800x600,HoughLine
4,0.132855,7.52701,1,800x600,HoughLine
5,0.131209,7.62144,1,800x600,HoughLine
6,0.133869,7.46998,1,800x600,HoughLine
7,0.135525,7.3787,1,800x600,HoughLine
8,0.268474,3.72476,1,800x600,HoughLine
9,0.130184,7.68143,1,800x600,HoughLine
1,0.129768,7.70606,0,800x600,HoughLine
2,0.11063,9.03917,0,800x600,HoughLine
3,0.142266,7.02908,0,800x600,HoughLine
4,0.307084,3.25644,0,800x600,HoughLine
5,0.11279,8.86605,0,800x600,HoughLine
6,0.131114,7.62695,0,800x600,HoughLine
7,0.132777,7.53141,0,800x600,HoughLine
8,0.135871,7.35992,0,800x600,HoughLine
9,0.143687,6.95959,0,800x600,HoughLine
