 Sequencer @ sec=0, msec=382
   Frame Sampler thread @ sec=0, msec=383
   Time-stamp with Image Analysis thread @ sec=0, msec=383
  Difference Image Proc thread @ sec=0, msec=383
 Time-stamp Image Save to File thread @ sec=0, msec=383
   Processed Image Save to File thread @ sec=0, msec=383
   Send Time-stamped Image to Remote thread @ sec=0, msec=383
   10 sec Tick Debug thread @ sec=0, msec=383
   Sequencer thread @ sec=0, msec=383
   Sequencer cycle 1 @ sec=0, msec=417
   Sequencer cycle 2 @ sec=0, msec=450
   Sequencer cycle 3 @ sec=0, msec=484
   Sequencer cycle 4 @ sec=0, msec=518
   Sequencer cycle 5 @ sec=0, msec=551
   Sequencer cycle 6 @ sec=0, msec=584
   Sequencer cycle 7 @ sec=0, msec=618
   Sequencer cycle 8 @ sec=0, msec=651
   Sequencer cycle 9 @ sec=0, msec=685
   Sequencer cycle 10 @ sec=0, msec=718
   Frame Sampler release 1 @ sec=0, msec=718
   Sequencer cycle 11 @ sec=0, msec=751
   Sequencer cycle 12 @ sec=0, msec=785
   Sequencer cycle 13 @ sec=0, msec=818
   Sequencer cycle 14 @ sec=0, msec=852
   Sequencer cycle 15 @ sec=0, msec=885
   Sequencer cycle 16 @ sec=0, msec=919
   Sequencer cycle 17 @ sec=0, msec=952
   Sequencer cycle 18 @ sec=0, msec=986
   Sequencer cycle 19 @ sec=1, msec=19
   Sequencer cycle 20 @ sec=1, msec=52
   Frame Sampler release 2 @ sec=1, msec=53
   Sequencer cycle 21 @ sec=1, msec=86
   Sequencer cycle 22 @ sec=1, msec=119
   Sequencer cycle 23 @ sec=1, msec=153
   Sequencer cycle 24 @ sec=1, msec=186
   Sequencer cycle 25 @ sec=1, msec=220
   Sequencer cycle 26 @ sec=1, msec=253
   Sequencer cycle 27 @ sec=1, msec=287
   Sequencer cycle 28 @ sec=1, msec=320
   Sequencer cycle 29 @ sec=1, msec=353
   Sequencer cycle 30 @ sec=1, msec=387
   Time-stamp with Image Analysis release 1 @ sec=1, msec=387
   Send Time-stamped Image to Remote release 1 @ sec=1, msec=387
   Frame Sampler release 3 @ sec=1, msec=387
   Time-stamp Image Save to File release 1 @ sec=1, msec=387
   Sequencer cycle 31 @ sec=1, msec=420
   Sequencer cycle 32 @ sec=1, msec=454
   Sequencer cycle 33 @ sec=1, msec=487
   Sequencer cycle 34 @ sec=1, msec=520
   Sequencer cycle 35 @ sec=1, msec=554
   Sequencer cycle 36 @ sec=1, msec=587
   Sequencer cycle 37 @ sec=1, msec=621
   Sequencer cycle 38 @ sec=1, msec=654
   Sequencer cycle 39 @ sec=1, msec=687
   Sequencer cycle 40 @ sec=1, msec=721
   Frame Sampler release 4 @ sec=1, msec=721
   Sequencer cycle 41 @ sec=1, msec=754
   Sequencer cycle 42 @ sec=1, msec=788
   Sequencer cycle 43 @ sec=1, msec=821
   Sequencer cycle 44 @ sec=1, msec=854
   Sequencer cycle 45 @ sec=1, msec=888
   Sequencer cycle 46 @ sec=1, msec=921
   Sequencer cycle 47 @ sec=1, msec=955
   Sequencer cycle 48 @ sec=1, msec=988
   Sequencer cycle 49 @ sec=2, msec=22
   Sequencer cycle 50 @ sec=2, msec=55
   Frame Sampler release 5 @ sec=2, msec=55
   Sequencer cycle 51 @ sec=2, msec=88
   Sequencer cycle 52 @ sec=2, msec=122
   Sequencer cycle 53 @ sec=2, msec=155
   Sequencer cycle 54 @ sec=2, msec=189
   Sequencer cycle 55 @ sec=2, msec=222
   Sequencer cycle 56 @ sec=2, msec=256
   Sequencer cycle 57 @ sec=2, msec=289
   Sequencer cycle 58 @ sec=2, msec=322
   Sequencer cycle 59 @ sec=2, msec=356
   Sequencer cycle 60 @ sec=2, msec=389
   Time-stamp Image Save to File release 2 @ sec=2, msec=389
   Time-stamp with Image Analysis release 2 @ sec=2, msec=389
   Frame Sampler release 6 @ sec=2, msec=389
   Send Time-stamped Image to Remote release 2 @ sec=2, msec=389
   Processed Image Save to File release 1 @ sec=2, msec=389
   Difference Image Proc release 1 @ sec=2, msec=389
   Sequencer cycle 61 @ sec=2, msec=423
   Sequencer cycle 62 @ sec=2, msec=456
   Sequencer cycle 63 @ sec=2, msec=490
   Sequencer cycle 64 @ sec=2, msec=523
   Sequencer cycle 65 @ sec=2, msec=557
   Sequencer cycle 66 @ sec=2, msec=590
   Sequencer cycle 67 @ sec=2, msec=624
   Sequencer cycle 68 @ sec=2, msec=657
   Sequencer cycle 69 @ sec=2, msec=690
   Sequencer cycle 70 @ sec=2, msec=724
   Frame Sampler release 7 @ sec=2, msec=724
   Sequencer cycle 71 @ sec=2, msec=757
   Sequencer cycle 72 @ sec=2, msec=791
   Sequencer cycle 73 @ sec=2, msec=824
   Sequencer cycle 74 @ sec=2, msec=857
   Sequencer cycle 75 @ sec=2, msec=891
   Sequencer cycle 76 @ sec=2, msec=924
   Sequencer cycle 77 @ sec=2, msec=958
   Sequencer cycle 78 @ sec=2, msec=991
   Sequencer cycle 79 @ sec=3, msec=24
   Sequencer cycle 80 @ sec=3, msec=58
   Frame Sampler release 8 @ sec=3, msec=58
   Sequencer cycle 81 @ sec=3, msec=91
   Sequencer cycle 82 @ sec=3, msec=125
   Sequencer cycle 83 @ sec=3, msec=158
   Sequencer cycle 84 @ sec=3, msec=191
   Sequencer cycle 85 @ sec=3, msec=225
   Sequencer cycle 86 @ sec=3, msec=258
   Sequencer cycle 87 @ sec=3, msec=292
   Sequencer cycle 88 @ sec=3, msec=325
   Sequencer cycle 89 @ sec=3, msec=358
   Sequencer cycle 90 @ sec=3, msec=392
   Time-stamp with Image Analysis release 3 @ sec=3, msec=392
   Frame Sampler release 9 @ sec=3, msec=392
   Time-stamp Image Save to File release 3 @ sec=3, msec=392
   Send Time-stamped Image to Remote release 3 @ sec=3, msec=392
   Sequencer cycle 91 @ sec=3, msec=425
   Sequencer cycle 92 @ sec=3, msec=459
   Sequencer cycle 93 @ sec=3, msec=492
   Sequencer cycle 94 @ sec=3, msec=525
   Sequencer cycle 95 @ sec=3, msec=559
   Sequencer cycle 96 @ sec=3, msec=592
   Sequencer cycle 97 @ sec=3, msec=626
   Sequencer cycle 98 @ sec=3, msec=659
   Sequencer cycle 99 @ sec=3, msec=692
   Sequencer cycle 100 @ sec=3, msec=726
   Frame Sampler release 10 @ sec=3, msec=726
   Sequencer cycle 101 @ sec=3, msec=759
   Sequencer cycle 102 @ sec=3, msec=793
