
T6 S:28994, R 2899

T6 C:28995, E:1

T1 S:28996, R 8699

T1 C:28997, E:1

T1 S:28999, R 8700

T1 C:29000, E:1

T2 S:29000, R 2900

T2 C:29001, E:1

T4 S:29001, R 2900

T4 C:29003, E:2

T1 S:29003, R 8701

T1 C:29004, E:1

T6 S:29004, R 2900

T6 C:29005, E:1

T3 S:29005, R 1450

T3 C:29006, E:1

T1 S:29006, R 8702

T1 C:29007, E:1

T5 S:29007, R 1450

T5 C:29008, E:1

T7 S:29009 , R 290

T7 C:29010, E:1

T1 S:29010, R 8703

T1 C:29011, E:1

T2 S:29011, R 2901

T2 C:29012, E:1

T4 S:29012, R 2901

T4 C:29013, E:1

T1 S:29013, R 8704

T1 C:29014, E:1

T6 S:29014, R 2901

T6 C:29016, E:2

T1 S:29016, R 8705

T1 C:29017, E:1

T1 S:29019, R 8706

T1 C:29020, E:1

T2 S:29020, R 2902

T2 C:29021, E:1

T4 S:29021, R 2902

T4 C:29023, E:2

T1 S:29023, R 8707

T1 C:29024, E:1

T6 S:29024, R 2902

T6 C:29025, E:1

T3 S:29025, R 1451

T3 C:29026, E:1

T1 S:29026, R 8708

T1 C:29027, E:1

T5 S:29027, R 1451

T5 C:29028, E:1

T1 S:29029, R 8709

T1 C:29030, E:1

T2 S:29030, R 2903

T2 C:29031, E:1

T4 S:29031, R 2903

T4 C:29033, E:2

T1 S:29033, R 8710

T1 C:29034, E:1

T6 S:29034, R 2903

T6 C:29035, E:1

T1 S:29036, R 8711

T1 C:29037, E:1

T1 S:29039, R 8712

T1 C:29040, E:1

T2 S:29040, R 2904

T2 C:29041, E:1

T4 S:29041, R 2904

T4 C:29043, E:2

T1 S:29043, R 8713

T1 C:29044, E:1

T6 S:29044, R 2904

T6 C:29045, E:1

T3 S:29045, R 1452

T3 C:29046, E:1

T1 S:29046, R 8714

T1 C:29047, E:1

T5 S:29047, R 1452

T5 C:29048, E:1

T1 S:29049, R 8715

T1 C:29050, E:1

T2 S:29050, R 2905

T2 C:29051, E:1

T4 S:29051, R 2905

T4 C:29053, E:2

T1 S:29053, R 8716

T1 C:29054, E:1

T6 S:29054, R 2905

T6 C:29055, E:1

T1 S:29056, R 8717

T1 C:29057, E:1

T1 S:29059, R 8718

T1 C:29060, E:1

T2 S:29060, R 2906

T2 C:29061, E:1

T4 S:29061, R 2906

T4 C:29063, E:2

T1 S:29063, R 8719

T1 C:29064, E:1

T6 S:29064, R 2906

T6 C:29065, E:1

T3 S:29065, R 1453

T3 C:29066, E:1

T1 S:29066, R 8720

T1 C:29067, E:1

T5 S:29067, R 1453

T5 C:29068, E:1

T1 S:29069, R 8721

T1 C:29070, E:1

T2 S:29070, R 2907

T2 C:29071, E:1

T4 S:29071, R 2907

T4 C:29073, E:2

T1 S:29073, R 8722

T1 C:29074, E:1

T6 S:29074, R 2907

T6 C:29075, E:1

T1 S:29076, R 8723

T1 C:29077, E:1

T1 S:29079, R 8724

T1 C:29080, E:1

T2 S:29080, R 2908

T2 C:29081, E:1

T4 S:29081, R 2908

T4 C:29083, E:2

T1 S:29083, R 8725

T1 C:29084, E:1

T6 S:29084, R 2908

T6 C:29085, E:1

T3 S:29085, R 1454

T3 C:29086, E:1

T1 S:29086, R 8726

T1 C:29087, E:1

T5 S:29087, R 1454

T5 C:29088, E:1

T1 S:29089, R 8727

T1 C:29090, E:1

T2 S:29090, R 2909

T2 C:29091, E:1

T4 S:29091, R 2909

T4 C:29093, E:2

T1 S:29093, R 8728

T1 C:29094, E:1

T6 S:29094, R 2909

T6 C:29095, E:1

T1 S:29096, R 8729

T1 C:29097, E:1

T1 S:29099, R 8730

T1 C:29100, E:1

T2 S:29100, R 2910

T2 C:29101, E:1

T4 S:29101, R 2910

T4 C:29103, E:2

T1 S:29103, R 8731

T1 C:29104, E:1

T6 S:29104, R 2910

T6 C:29105, E:1

T3 S:29105, R 1455

T3 C:29106, E:1

T1 S:29106, R 8732

T1 C:29107, E:1

T5 S:29107, R 1455

T5 C:29108, E:1

T7 S:29109 , R 291

T7 C:29110, E:1

T1 S:29110, R 8733

T1 C:29111, E:1

T2 S:29111, R 2911

T2 C:29112, E:1

T4 S:29112, R 2911

T4 C:29113, E:1

T1 S:29113, R 8734

T1 C:29114, E:1

T6 S:29114, R 2911

T6 C:29116, E:2

T1 S:29116, R 8735

T1 C:29117, E:1

T1 S:29119, R 8736

T1 C:29120, E:1

T2 S:29120, R 2912

T2 C:29121, E:1

T4 S:29121, R 2912

T4 C:29123, E:2

T1 S:29123, R 8737

T1 C:29124, E:1

T6 S:29124, R 2912

T6 C:29125, E:1

T3 S:29125, R 1456

T3 C:29126, E:1

T1 S:29126, R 8738

T1 C:29127, E:1

T5 S:29127, R 1456

T5 C:29128, E:1

T1 S:29129, R 8739

T1 C:29130, E:1

T2 S:29130, R 2913

T2 C:29131, E:1

T4 S:29131, R 2913

T4 C:29133, E:2

T1 S:29133, R 8740

T1 C:29134, E:1

T6 S:29134, R 2913

T6 C:29135, E:1

T1 S:29136, R 8741

